Statistics Section,,,,,,,
Maldives Customs Service,,,,,,,
,,,,,,,
,,,,,,,
Total Exports In 2015,,,,,,,
,,,,,,,
Code,Description,Unit,Country of Destination, Quantity , FOB (MVR) ,,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,U.A.E, 654.00 ," 20,097.42 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,SWITZERLAND, 515.00 ," 21,318.19 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,GERMANY," 23,842.00 "," 680,889.07 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,U.K," 102,739.00 "," 3,216,610.51 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,HONG KONG," 1,449.00 "," 22,556.80 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,INDIA, 734.00 ," 5,641.89 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,ITALY, 498.00 ," 15,311.01 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,JAPAN," 6,784.00 "," 59,713.09 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,SRI LANKA," 258,402.00 "," 3,001,680.78 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,NETHERLANDS," 8,152.00 "," 295,089.79 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,PORTUGAL," 12,996.00 "," 399,564.71 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,SINGAPORE," 1,397.00 "," 10,740.62 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,THAILAND, 929.00 ," 10,931.34 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,TAIWAN," 1,788.00 "," 28,247.79 ",,
301190000,Live Ornamental Fish (Other Than Freshwater),Nos,U.S.A," 39,265.00 "," 1,207,005.28 ",,
301990010,Grouper (Live ),Nos,GERMANY, 247.00 ," 22,772.41 ",,
301990010,Grouper (Live ),Nos,HONG KONG," 119,997.00 "," 10,365,876.88 ",,
301990011,Reef Fish ( Live ) Edible,Nos,SRI LANKA," 1,199.00 "," 29,130.71 ",,
302310000,Fresh Or Chilled Albacore Or Longfinned Tunas,Kgs,SRI LANKA, 21.10 , 810.10 ,,
302320000,Fresh Or Chilled Yellowfin Tunas,Kgs,U.A.E," 104,237.26 "," 9,487,433.46 ",,
302320000,Fresh Or Chilled Yellowfin Tunas,Kgs,AUSTRALIA," 23,205.32 "," 3,055,141.02 ",,
302320000,Fresh Or Chilled Yellowfin Tunas,Kgs,BELGIUM," 4,168.50 "," 299,010.04 ",,
