Maldives Customs Service,,,,,,
TARIFF & STATISTICS SECTION,,,,,,
,,,,,,
,,,,,,
Total Exports In 2016,,,,Date 20/09/2017,,
,,,,,,
HS CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB (MVR) ,RATE
106200010,Live Turtle,NMB,BELGIUM, 8.00 ," 61,533.20 ",25
301190000,Live Ornamental Fish (Other Than Freshwater),NMB,BELGIUM, 819.00 ," 25,184.25 ",25
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Germany," 25,692.00 "," 712,036.31 ",25
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Great Britain," 99,907.00 "," 3,056,323.22 ",25
301190000,Live Ornamental Fish (Other Than Freshwater),NMB,HONG KONG, 509.00 ," 3,912.27 ",25
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Japan," 2,700.00 "," 33,407.69 ",25
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Netherlands," 8,137.00 "," 62,551.64 ",25
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,New Taiwan," 1,025.00 "," 7,435.51 ",25
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Portugal," 16,597.00 "," 510,264.70 ",25
301190000,Live Ornamental Fish (Other Than Freshwater),NMB,SINGAPORE, 692.00 ," 5,318.36 ",25
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Sri Lanka," 183,463.00 "," 1,764,499.59 ",25
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,Thailand," 1,537.00 "," 11,816.03 ",25
301190000,Live Ornamental Fish (Other Than Freshwater),NMB,UNITED ARAB EMIRATES," 1,396.00 "," 42,942.03 ",25
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,United States," 43,857.00 "," 1,334,919.17 ",25
301990010,GROUPER (LIVE ),NMB,Hong Kong," 130,368.50 "," 8,991,715.47 ",25
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Australia," 62,506.65 "," 7,691,935.63 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Belgium," 7,288.00 "," 719,359.19 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Canada," 37,237.52 "," 3,631,099.68 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,China," 18,978.41 "," 729,715.09 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Czech Republic," 2,014.24 "," 87,276.73 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,France," 913,995.21 "," 77,395,841.30 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Germany," 75,028.73 "," 3,859,121.87 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Great Britain," 52,826.66 "," 3,982,834.44 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Greece, 97.00 ," 10,439.62 ",15
302320000,Fresh Or Chilled Yellowfin Tunas,KGM,HONG KONG, 479.00 ," 108,796.07 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Ireland," 12,552.60 "," 966,302.73 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Italy," 137,629.45 "," 11,492,580.49 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Japan," 204,593.26 "," 9,732,702.60 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Netherlands," 46,756.80 "," 3,545,630.58 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,New Taiwan, 134.62 ," 11,383.80 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Poland," 1,218.01 "," 67,483.84 ",15
302320000,Fresh Or Chilled Yellowfin Tunas,KGM,SAUDI ARABIA, 1.11 , 17.05 ,15
302320000,Fresh Or Chilled Yellowfin Tunas,KGM,SINGAPORE, 290.00 ," 8,915.76 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Spain," 333,918.28 "," 22,050,828.67 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Sri Lanka," 1,700,038.56 "," 81,964,886.08 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Switzerland," 9,818.59 "," 1,632,233.26 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,Thailand," 370,502.11 "," 9,424,380.18 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,United Arab Emirates," 102,090.71 "," 5,707,990.14 ",15
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,United States," 1,546,052.96 "," 150,841,207.85 ",15
302320000,Fresh Or Chilled Yellowfin Tunas,KGM,VIETNAM, 500.00 ," 3,842.50 ",15
302330000,Fresh Or Chilled Skipjack Or Stripe-Bellied Bonito,KGM,GERMANY, 33.10 ," 1,525.74 ",15
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Sri Lanka, 21.00 , 645.75 ,15
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Thailand," 683,850.00 "," 17,916,487.29 ",15
302330000,FRESH OR CHILLED SKIPJACK OR STRIPE-BELLIED BONITO,KGM,United Arab Emirates, 29.20 , 898.19 ,15
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,Australia, 172.00 ," 5,289.00 ",15
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,Canada, 425.25 ," 26,161.38 ",15
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,France," 13,852.00 "," 1,519,926.25 ",15
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,Germany," 3,219.00 "," 117,350.70 ",15
302340000,Fresh Or Chilled Bigeye Tunas (Thunnus Obesus),KGM,ITALY, 307.75 ," 18,920.47 ",15
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,Japan," 239,823.55 "," 10,690,515.58 ",15
302340000,Fresh Or Chilled Bigeye Tunas (Thunnus Obesus),KGM,NETHERLANDS, 483.00 ," 14,849.35 ",15
302340000,Fresh Or Chilled Bigeye Tunas (Thunnus Obesus),KGM,SINGAPORE, 76.00 ," 2,336.54 ",15
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,Spain, 111.00 ," 7,682.31 ",15
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,Sri Lanka," 87,014.80 "," 3,003,185.57 ",15
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,Thailand," 71,732.00 "," 2,241,010.12 ",15
302340000,FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS),KGM,United States," 217,152.59 "," 13,757,706.88 ",15
302470000,Fresh Or Chilled Swordfish (Xiphias Gladius),KGM,GERMANY," 1,003.00 "," 30,836.23 ",0
302470000,Fresh Or Chilled Swordfish (Xiphias Gladius),KGM,ITALY, 258.15 ," 15,871.06 ",0
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,Japan," 53,050.37 "," 2,401,998.12 ",0
302470000,Fresh Or Chilled Swordfish (Xiphias Gladius),KGM,SINGAPORE, 594.00 ," 18,261.93 ",0
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,Sri Lanka," 14,280.50 "," 523,323.57 ",0
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,Thailand," 2,410.00 "," 74,099.76 ",0
302470000,FRESH OR CHILLED SWORDFISH (XIPHIAS GLADIUS),KGM,United States," 147,156.17 "," 8,514,360.98 ",0
302890010,FRESH OR CHILLED GROUPER,KGM,Czech Republic, 145.33 ," 4,831.12 ",0
302890010,Fresh Or Chilled Grouper,KGM,GERMANY, 351.77 ," 20,153.84 ",0
302890010,FRESH OR CHILLED GROUPER,KGM,Hong Kong," 220,641.80 "," 11,840,274.58 ",0
302890010,Fresh Or Chilled Grouper,KGM,IRELAND, 32.87 ," 1,010.75 ",0
302890010,FRESH OR CHILLED GROUPER,KGM,New Taiwan," 477,768.70 "," 32,289,699.21 ",0
302890010,Fresh Or Chilled Grouper,KGM,SAUDI ARABIA, 50.64 ," 1,557.17 ",0
302890010,Fresh Or Chilled Grouper,KGM,SINGAPORE," 1,018.00 "," 62,537.77 ",0
302890011,FRESH OR CHILLED MARLIN (THALALAPATH)(HIBARU),KGM,Ireland, 11.16 , 343.28 ,0
302890011,Fresh Or Chilled Marlin (Thalalapath)(Hibaru),KGM,ITALY, 375.00 ," 8,644.21 ",0
302890011,FRESH OR CHILLED MARLIN (THALALAPATH)(HIBARU),KGM,Japan," 32,071.00 "," 1,484,908.22 ",0
302890011,FRESH OR CHILLED MARLIN (THALALAPATH)(HIBARU),KGM,Sri Lanka," 4,142.90 "," 114,293.23 ",0
302890011,Fresh Or Chilled Marlin (Thalalapath)(Hibaru),KGM,UNITED STATES, 305.20 ," 18,760.63 ",0
302890013,REEF FISH (FRESH OR CHILLED),KGM,Czech Republic," 5,726.86 "," 267,051.23 ",0
302890013,REEF FISH (FRESH OR CHILLED),KGM,France, 5.60 , 86.13 ,0
302890013,Reef Fish (Fresh Or Chilled),KGM,SAUDI ARABIA, 149.80 ," 4,606.32 ",0
302890013,Reef Fish (Fresh Or Chilled),KGM,SWITZERLAND, 12.98 , 607.17 ,0
302890013,REEF FISH (FRESH OR CHILLED),KGM,United Arab Emirates, 736.83 ," 29,638.52 ",0
302890013,Reef Fish (Fresh Or Chilled),KGM,UNITED STATES," 1,255.82 "," 29,356.03 ",0
303420010,Yellowfin Tuna (Frozen),KGM,BELGIUM, 7.00 , 107.50 ,15
303420010,Yellowfin Tuna (Frozen),KGM,FRANCE, 10.79 ," 3,069.15 ",15
303420010,YELLOWFIN TUNA (FROZEN),KGM,Hong Kong, 453.00 ," 6,968.63 ",15
303420010,YELLOWFIN TUNA (FROZEN),KGM,Indonesia," 27,000.00 "," 861,849.38 ",15
303420010,YELLOWFIN TUNA (FROZEN),KGM,Italy, 9.21 , 141.61 ,15
303420010,YELLOWFIN TUNA (FROZEN),KGM,Philippines," 22,687.94 "," 607,032.73 ",15
303420010,Yellowfin Tuna (Frozen),KGM,SAUDI ARABIA, 28.98 , 445.35 ,15
303420010,Yellowfin Tuna (Frozen),KGM,SPAIN," 30,825.00 "," 1,019,943.74 ",15
303420010,YELLOWFIN TUNA (FROZEN),KGM,Sri Lanka," 57,118.00 "," 744,473.31 ",15
303420010,YELLOWFIN TUNA (FROZEN),KGM,Thailand," 6,638,813.00 "," 153,237,565.71 ",15
303420010,YELLOWFIN TUNA (FROZEN),KGM,United States," 21,623.28 "," 697,378.30 ",15
303420010,YELLOWFIN TUNA (FROZEN),KGM,Vietnam," 61,890.00 "," 909,026.36 ",15
303420011,YELLOWFIN TUNA HEAD (FROZEN),KGM,France, 51.24 ," 1,576.14 ",15
303420011,Yellowfin Tuna Head (Frozen),KGM,SWITZERLAND, 12.41 , 138.46 ,15
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Indonesia," 27,000.00 "," 861,849.38 ",15
303430000,Frozen Skipjack Or Stripe-Bellied Bonito,KGM,SPAIN," 65,295.10 "," 2,305,486.30 ",15
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Sri Lanka, 166.00 ," 2,553.08 ",15
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Thailand," 21,044,950.00 "," 553,987,186.05 ",15
303430000,FROZEN SKIPJACK OR STRIPE-BELLIED BONITO,KGM,Vietnam," 7,129.00 "," 54,623.71 ",15
303440010,Bigeye Tuna (Frozen),KGM,VIETNAM, 66.00 ," 1,075.28 ",15
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,Hong Kong," 3,188.00 "," 49,041.96 ",0
303570000,Frozen Swordfish (Xiphias Gladius),KGM,JAPAN," 25,922.00 "," 1,115,397.72 ",0
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,Sri Lanka," 43,823.00 "," 737,595.51 ",0
303570000,Frozen Swordfish (Xiphias Gladius),KGM,UNITED STATES," 2,096.00 "," 183,480.19 ",0
303570000,FROZEN SWORDFISH (XIPHIAS GLADIUS),KGM,Vietnam," 105,153.00 "," 1,860,644.44 ",0
303890012,FROZEN MARLIN,KGM,Hong Kong," 11,514.00 "," 247,972.64 ",0
303890012,FROZEN MARLIN,KGM,Sri Lanka," 168,226.00 "," 3,449,645.69 ",0
303890012,Frozen Marlin,KGM,UNITED STATES," 18,000.00 "," 319,800.00 ",0
303890012,FROZEN MARLIN,KGM,Vietnam," 107,375.00 "," 1,635,122.23 ",0
303890099,FROZEN REEF FISH NES,KGM,Hong Kong," 4,632.00 "," 99,757.62 ",0
