MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2017,,* Provisional/Subjected to Post Modification,,, Updated on : 07/05/2018 
,,,,,
CODE,HSDESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB (MVR) 
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,BELGIUM," 2,926.00 "," 90,103.77 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GERMANY," 21,452.00 "," 660,067.32 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GREAT BRITAIN," 91,031.00 "," 2,792,154.97 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,HONG KONG," 2,519.00 "," 19,362.53 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,ITALY, 314.00 ," 2,414.97 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,JAPAN," 3,201.00 "," 41,356.76 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,NETHERLANDS," 10,156.00 "," 78,131.79 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,NEW TAIWAN," 1,945.00 "," 14,961.98 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,PORTUGAL," 15,029.00 "," 462,492.51 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SINGAPORE," 1,716.00 "," 25,088.07 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SRI LANKA," 190,840.60 "," 1,818,264.58 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SWITZERLAND," 1,182.00 "," 9,095.53 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,THAILAND," 4,139.50 "," 34,492.53 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,UNITED STATES," 39,306.00 "," 1,209,492.95 "
301990010,GROUPER (LIVE ),NMB,HONG KONG," 76,555.00 "," 4,869,009.69 "
301990010,GROUPER (LIVE ),NMB,NEW TAIWAN," 2,007.50 "," 166,899.96 "
302110000,"FRESH OR CHILLED TROUT(SALMO TRUTTA,ONC'MYKSS,CL'KI,AG'B'TA,GILAE,APA,CHO)",KGM,NEW TAIWAN, 10.00 ," 2,128.88 "
