MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2018 ,,,* Subjected to Post Modification,, Updated on :  04/07/2019 
,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
106909099,"LIVE ANIMALS, NES",NMB,PHILIPPINES, 3.00 , 230.85 
301110000,LIVE FRESHWATER ORNAMENTAL FISH,NMB,TAIWAN, 270.00 ," 2,077.65 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GREAT BRITAIN," 85,150.00 "," 2,559,692.41 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,JAPAN," 2,198.00 "," 27,222.07 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,NETHERLANDS," 10,414.00 "," 80,169.08 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,THAILAND," 1,984.50 "," 17,797.67 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,UNITED STATES," 43,936.00 "," 1,352,986.59 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,HONG KONG," 5,506.00 "," 72,029.83 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,ITALY, 219.00 ," 1,686.57 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SRI LANKA," 209,148.67 "," 1,775,992.26 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,BELGIUM," 4,099.00 "," 126,223.67 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,FRANCE," 6,694.00 "," 206,123.28 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,TAIWAN," 2,996.00 "," 22,104.94 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GERMANY," 14,552.00 "," 448,105.46 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,PORTUGAL," 10,876.00 "," 334,906.73 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,QATAR, 143.00 ," 1,101.10 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SINGAPORE, 207.00 ," 1,593.64 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SWITZERLAND, 452.00 ," 3,480.96 "
