MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2020,,,* Subjected to Post Modification,, Updated on : 28/02/2021 
,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
207140000,FROZEN CUTS AND OFFAL OF CHICKEN,KGM,SRI LANKA, 6.00 , 9.23 
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,BELGIUM," 1,497.00 "," 46,044.10 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,CANADA," 1,152.00 "," 8,863.53 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,CHINA," 28,576.00 "," 220,269.12 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,FRANCE," 1,830.00 "," 56,274.76 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GERMANY," 12,982.00 "," 385,739.53 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GREAT BRITAIN," 84,485.00 "," 2,595,394.90 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,HONG KONG," 15,826.00 "," 121,705.65 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,JAPAN," 1,206.00 "," 9,277.51 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,NETHERLANDS," 10,423.00 "," 80,166.22 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,PORTUGAL," 12,312.00 "," 378,738.76 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SINGAPORE," 1,226.00 "," 9,425.78 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SRI LANKA," 140,116.00 "," 1,001,101.66 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,TAIWAN, 855.00 ," 6,577.55 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,THAILAND," 1,277.00 "," 9,821.77 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,UNITED STATES," 38,538.00 "," 1,126,719.25 "
301990010,GROUPER (LIVE ),NMB,CHINA, 272.00 ," 10,020.52 "
301990010,GROUPER (LIVE ),NMB,HONG KONG," 93,368.50 "," 2,771,545.23 "
