MALDIVES CUSTOMS SERVICE,,,,,,,
Tariff & Statistics Section,,,,,,,
,,,,,,,
,,,,,,,
Total Merchandise Exports in 2021 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 23/03/2022 ,,
,,,,,,,
CODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) ,,
106200010,LIVE TURTLE,NMB,GREAT BRITAIN, 1.00 ," 15,397.50 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,BELGIUM," 1,332.00 "," 40,923.01 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,CANADA," 3,359.00 "," 24,238.72 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,CHINA," 17,705.00 "," 136,085.70 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,FRANCE," 6,458.00 "," 198,621.59 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GERMANY," 11,790.00 "," 370,711.39 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GREAT BRITAIN," 63,413.00 "," 1,929,444.23 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,HONG KONG," 9,035.00 "," 77,675.14 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,IRAQ, 126.00 ," 1,935.99 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,JAPAN," 2,936.00 "," 27,862.13 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,NETHERLANDS," 6,105.00 "," 46,950.14 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,PORTUGAL," 28,759.00 "," 884,386.34 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SINGAPORE," 2,674.00 "," 29,873.53 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SRI LANKA," 193,729.00 "," 1,659,719.92 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,TAIWAN," 2,760.00 "," 37,614.91 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,THAILAND," 2,863.00 "," 32,941.23 ",,
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,TURKEY, 692.00 ," 5,313.70 ",,
