MALDIVES CUSTOMS SERVICE,,,,,
Tariff & Statistics Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2022 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 25/01/2023 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
106140000,LIVE RABBITS AND HARES,NMB,UNITED ARAB EMIRATES, 1.00 , 153.85 
106140000,LIVE RABBITS AND HARES,NMB,UNITED STATES, 1.00 , 153.97 
106190000,LIVE MAMMALS (OTHER),NMB,GEORGIA, 5.00 ," 3,846.88 "
106190000,LIVE MAMMALS (OTHER),NMB,GREAT BRITAIN, 1.00 , 153.85 
106200010,LIVE TURTLE,NMB,GREAT BRITAIN, 1.00 , 15.38 
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,CZECH REPUBLIC, 966.00 ," 14,865.02 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,FRANCE," 7,968.00 "," 245,252.67 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GERMANY," 9,178.00 "," 248,549.89 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GREAT BRITAIN," 56,853.00 "," 1,736,818.55 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,HONG KONG," 6,849.00 "," 198,127.29 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,INDIA," 10,017.00 "," 117,470.83 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,IRAQ, 264.00 ," 2,030.82 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,JAPAN," 3,947.00 "," 122,032.20 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,NETHERLANDS," 9,068.00 "," 131,573.04 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,OMAN, 332.00 ," 2,555.07 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,PORTUGAL," 21,015.00 "," 647,065.60 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SINGAPORE," 2,482.00 "," 45,644.26 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SRI LANKA," 159,976.00 "," 2,449,930.78 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,TAIWAN," 2,028.00 "," 49,886.29 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,THAILAND," 1,176.00 "," 9,050.55 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,TURKEY, 792.00 ," 12,186.23 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,UNITED ARAB EMIRATES, 71.00 ," 34,379.59 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,UNITED STATES," 50,698.00 "," 1,635,023.33 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,VIETNAM, 247.00 ," 3,800.71 "
301990010,GROUPER (LIVE ),NMB,HONG KONG," 73,878.00 "," 2,690,571.23 "
301990010,GROUPER (LIVE ),NMB,SRI LANKA, 2.00 , 30.79 
301990010,GROUPER (LIVE ),NMB,THAILAND," 1,436.00 "," 49,780.67 "
301990010,GROUPER (LIVE ),NMB,UNITED ARAB EMIRATES, 516.00 ," 15,524.57 "
301990099,"OTHER LIVE FISH, NES",NMB,SRI LANKA," 5,659.00 "," 52,408.30 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,BELGIUM," 9,155.06 "," 823,121.33 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,CANADA," 10,711.81 "," 1,074,444.98 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,DENMARK, 975.24 ," 7,503.25 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,FRANCE," 315,590.62 "," 24,327,862.14 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,GERMANY," 11,781.38 "," 698,464.07 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,GREAT BRITAIN," 32,831.89 "," 2,027,568.94 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,HONG KONG, 38.28 , 496.95 
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,IRELAND," 1,176.73 "," 58,882.67 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,ITALY," 19,631.50 "," 2,207,196.62 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,KOREAN REPUBLIC OF, 160.00 ," 12,775.36 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,NETHERLANDS," 1,251.40 "," 88,701.39 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,PORTUGAL," 2,579.00 "," 333,466.36 "
