MALDIVES CUSTOMS SERVICE,,,,,
Statistics & Records Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2023 ,,,* Subjected to Post Modification,, Updated on : 24/4/2024 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,CANADA," 1,622.00 "," 57,187.07 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,CZECH REPUBLIC," 2,708.00 "," 20,837.01 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,FRANCE," 6,920.00 "," 212,963.06 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GERMANY," 9,874.00 "," 263,679.31 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GREAT BRITAIN," 50,150.00 "," 1,515,901.37 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,HONG KONG," 4,423.70 "," 133,533.17 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,INDIA," 2,180.00 "," 33,523.81 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,ITALY, 166.00 ," 1,276.54 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,JAPAN," 4,696.00 "," 126,648.29 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,KOREAN REPUBLIC OF, 716.00 ," 28,665.56 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,NETHERLANDS," 8,990.00 "," 138,489.07 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,PORTUGAL," 17,741.00 "," 545,968.11 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SINGAPORE," 2,959.00 "," 40,072.03 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SPAIN," 6,732.00 "," 52,399.96 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SRI LANKA," 130,737.00 "," 2,251,144.98 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,TAIWAN," 3,134.00 "," 45,212.46 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,THAILAND," 3,618.00 "," 38,465.19 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,UNITED STATES," 58,192.00 "," 1,822,334.46 "
301990010,GROUPER (LIVE ),NMB,HONG KONG," 66,953.00 "," 2,219,909.11 "
301990010,GROUPER (LIVE ),NMB,SINGAPORE, 39.00 , 900.75 
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,CANADA," 10,735.24 "," 696,828.13 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,CHINA, 26.00 ," 4,202.02 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,CZECH REPUBLIC, 288.00 ," 37,650.24 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,ECUADOR," 1,160.40 "," 53,575.67 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,FRANCE," 285,911.09 "," 23,011,270.01 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,GERMANY," 7,360.33 "," 363,514.72 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,GREAT BRITAIN," 13,948.27 "," 759,911.93 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,HONG KONG, 409.00 ," 65,855.28 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,ITALY," 26,576.66 "," 2,800,283.22 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,NETHERLANDS, 743.70 ," 48,396.55 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,PORTUGAL," 1,554.00 "," 221,369.11 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,QATAR," 1,840.53 "," 22,374.37 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,SOUTH AFRICA, 266.86 ," 55,266.05 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,SPAIN," 43,194.95 "," 2,920,993.27 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,SRI LANKA," 2,244.00 "," 34,529.55 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,SWITZERLAND," 2,080.66 "," 135,239.97 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,THAILAND, 28.00 ," 3,661.39 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,UNITED ARAB EMIRATES," 38,106.73 "," 945,340.58 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,UNITED STATES," 309,373.84 "," 21,123,673.20 "
