MALDIVES CUSTOMS SERVICE,,,,,
 Statistics and Records Section,,,,,
,,,,,
,,,,,
Total Merchandise Exports in 2024 (Jan-Dec),,,* Subjected to Post Modification,, Updated on : 26/1/2025 
,,,,,
HSCODE,HS DESCRIPTION,UNIT,COUNTRY OF DESTINATION, QUANTITY , FOB(MVR) 
106200010,LIVE TURTLE,NMB,UNITED ARAB EMIRATES, 1 ," 1,539 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,BELGIUM, 600 ," 18,468 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,CANADA," 3,431 "," 51,162 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,FRANCE," 3,958 "," 121,828 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GERMANY," 11,220 "," 332,567 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,GREAT BRITAIN," 45,633 "," 1,393,331 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,HONG KONG," 1,457 "," 23,167 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,INDIA," 2,024 "," 31,153 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,JAPAN," 3,233 "," 57,723 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,KOREAN REPUBLIC OF, 886 ," 29,730 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,NETHERLANDS," 9,295 "," 143,049 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,POLAND, 242 ," 4,856 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,PORTUGAL," 18,125 "," 558,747 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SINGAPORE," 2,629 "," 28,879 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,SRI LANKA," 117,321 "," 1,980,613 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,TAIWAN," 1,684 "," 25,565 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,THAILAND, 353 ," 3,343 "
301190000,LIVE ORNAMENTAL FISH (OTHER THAN FRESHWATER),NMB,UNITED STATES," 46,927 "," 1,370,586 "
301990010,GROUPER (LIVE ),NMB,CAMBODIA, 787 ," 31,511 "
301990010,GROUPER (LIVE ),NMB,HONG KONG," 103,827 "," 4,157,543 "
301990010,GROUPER (LIVE ),NMB,MALAYSIA, 57 ," 2,631 "
301990010,GROUPER (LIVE ),NMB,SINGAPORE, 5 , 231 
302310000,FRESH OR CHILLED ALBACORE OR LONGFINNED TUNAS,KGM,BAHRAIN, 3 , 868 
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,BELGIUM, 533 ," 110,236 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,CANADA, 183 ," 2,810 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,FRANCE," 144,921 "," 10,695,463 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,GERMANY," 13,397 "," 487,656 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,GREAT BRITAIN," 3,194 "," 48,267 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,HONG KONG, 44 ," 6,602 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,ITALY," 2,268 "," 263,678 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,NETHERLANDS, 287 ," 13,256 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,PORTUGAL, 313 ," 43,368 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,QATAR, 51 , 389 
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,SINGAPORE, 57 ," 9,534 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,SPAIN," 11,873 "," 420,857 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,SRI LANKA, 23 , 71 
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,SWITZERLAND," 3,108 "," 247,681 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,THAILAND," 19,336 "," 431,325 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,TURKEY," 26,732 "," 776,599 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,UNITED ARAB EMIRATES," 23,816 "," 866,671 "
302320000,FRESH OR CHILLED YELLOWFIN TUNAS,KGM,UNITED STATES," 106,010 "," 6,630,328 "
302330000,FRESH OR CHILLED  SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,CANADA, 40 ," 4,880 "
302330000,FRESH OR CHILLED  SKIPJACK TUNA (STRIPE-BELLIED BONITO) (KATSUWONUS PELAMIS),KGM,GERMANY, 48 ," 1,722 "
